,Pclass,Age,SibSp,Parch,Fare,Sex_male,Embarked_Q,Embarked_S,Survived
774,2,54.0,1,3,23.0,0,0,1,1
756,3,28.0,0,0,7.7958,1,0,1,0
543,2,32.0,1,0,26.0,1,0,1,1
92,1,46.0,1,0,61.175,1,0,1,0
711,1,,0,0,26.55,1,0,1,0
614,3,35.0,0,0,8.05,1,0,1,0
735,3,28.5,0,0,16.1,1,0,1,0
172,3,1.0,1,1,11.1333,0,0,1,1
645,1,48.0,1,0,76.7292,1,0,0,1
365,3,30.0,0,0,7.25,1,0,1,0
68,3,17.0,4,2,7.925,0,0,1,1
238,2,19.0,0,0,10.5,1,0,1,0
276,3,45.0,0,0,7.75,0,0,1,0
99,2,34.0,1,0,26.0,1,0,1,0
54,1,65.0,0,1,61.9792,1,0,0,0
320,3,22.0,0,0,7.25,1,0,1,0
672,2,70.0,0,0,10.5,1,0,1,0
402,3,21.0,1,0,9.825,0,0,1,0
328,3,31.0,1,1,20.525,0,0,1,1
609,1,40.0,0,0,153.4625,0,0,1,1
114,3,17.0,0,0,14.4583,0,0,0,0
147,3,9.0,2,2,34.375,0,0,1,0
657,3,32.0,1,1,15.5,0,1,0,0
675,3,18.0,0,0,7.775,1,0,1,0
808,2,39.0,0,0,13.0,1,0,1,0
104,3,37.0,2,0,7.925,1,0,1,0
783,3,,1,2,23.45,1,0,1,0
321,3,27.0,0,0,7.8958,1,0,1,0
568,3,,0,0,7.2292,1,0,0,0
840,3,20.0,0,0,7.925,1,0,1,0
196,3,,0,0,7.75,1,1,0,0
23,1,28.0,0,0,35.5,1,0,1,1
748,1,19.0,1,0,53.1,1,0,1,0
221,2,27.0,0,0,13.0,1,0,1,0
817,2,31.0,1,1,37.0042,1,0,0,0
686,3,14.0,4,1,39.6875,1,0,1,0
760,3,,0,0,14.5,1,0,1,0
364,3,,1,0,15.5,1,1,0,0
557,1,,0,0,227.525,1,0,0,0
39,3,14.0,1,0,11.2417,0,0,0,1
873,3,47.0,0,0,9.0,1,0,1,0
780,3,13.0,0,0,7.2292,0,0,0,1
203,3,45.5,0,0,7.225,1,0,0,0
587,1,60.0,1,1,79.2,1,0,0,1
450,2,36.0,1,2,27.75,1,0,1,0
716,1,38.0,0,0,227.525,0,0,0,1
653,3,,0,0,7.8292,0,1,0,1
553,3,22.0,0,0,7.225,1,0,0,1
466,2,,0,0,0.0,1,0,1,0
646,3,19.0,0,0,7.8958,1,0,1,0
479,3,2.0,0,1,12.2875,0,0,1,1
439,2,31.0,0,0,10.5,1,0,1,0
315,3,26.0,0,0,7.8542,0,0,1,1
55,1,,0,0,35.5,1,0,1,1
38,3,18.0,2,0,18.0,0,0,1,0
128,3,,1,1,22.3583,0,0,0,1
813,3,6.0,4,2,31.275,0,0,1,0
804,3,27.0,0,0,6.975,1,0,1,1
41,2,27.0,1,0,21.0,0,0,1,0
773,3,,0,0,7.225,1,0,0,0
5,3,,0,0,8.4583,1,1,0,0
489,3,9.0,1,1,15.9,1,0,1,1
515,1,47.0,0,0,34.0208,1,0,1,0
224,1,38.0,1,0,90.0,1,0,1,1
120,2,21.0,2,0,73.5,1,0,1,0
529,2,23.0,2,1,11.5,1,0,1,0
63,3,4.0,3,2,27.9,1,0,1,0
501,3,21.0,0,0,7.75,0,1,0,0
222,3,51.0,0,0,8.05,1,0,1,0
438,1,64.0,1,4,263.0,1,0,1,0
151,1,22.0,1,0,66.6,0,0,1,1
185,1,,0,0,50.0,1,0,1,0
819,3,10.0,3,2,27.9,1,0,1,0
100,3,28.0,0,0,7.8958,0,0,1,0
827,2,1.0,0,2,37.0042,1,0,0,1
101,3,,0,0,7.8958,1,0,1,0
469,3,0.75,2,1,19.2583,0,0,0,1
784,3,25.0,0,0,7.05,1,0,1,0
300,3,,0,0,7.75,0,1,0,1
658,2,23.0,0,0,13.0,1,0,1,0
35,1,42.0,1,0,52.0,1,0,1,0
766,1,,0,0,39.6,1,0,0,0
184,3,4.0,0,2,22.025,0,0,1,1
164,3,1.0,4,1,39.6875,1,0,1,0
884,3,25.0,0,0,7.05,1,0,1,0
139,1,24.0,0,0,79.2,1,0,0,0
690,1,31.0,1,0,57.0,1,0,1,1
380,1,42.0,0,0,227.525,0,0,0,1
201,3,,8,2,69.55,1,0,1,0
770,3,24.0,0,0,9.5,1,0,1,0
182,3,9.0,4,2,31.3875,1,0,1,0
581,1,39.0,1,1,110.8833,0,0,0,1
452,1,30.0,0,0,27.75,1,0,0,0
654,3,18.0,0,0,6.75,0,1,0,0
340,2,2.0,1,1,26.0,1,0,1,1
687,3,19.0,0,0,10.1708,1,0,1,0
79,3,30.0,0,0,12.475,0,0,1,1
228,2,18.0,0,0,13.0,1,0,1,0
393,1,23.0,1,0,113.275,0,0,0,1
727,3,,0,0,7.7375,0,1,0,1
471,3,38.0,0,0,8.6625,1,0,1,0
